Name
IIS-WebServerRole
IIS-WebServer
IIS-CommonHttpFeatures
IIS-HttpErrors
IIS-HttpRedirect
IIS-ApplicationDevelopment
NetFx4Extended-ASPNET45
IIS-NetFxExtensibility45
IIS-HealthAndDiagnostics
IIS-HttpLogging
IIS-LoggingLibraries
IIS-RequestMonitor
IIS-HttpTracing
IIS-Security
IIS-RequestFiltering
IIS-Performance
IIS-WebServerManagementTools
IIS-IIS6ManagementCompatibility
IIS-Metabase
IIS-ManagementConsole
IIS-BasicAuthentication
IIS-WindowsAuthentication
IIS-StaticContent
IIS-DefaultDocument
IIS-WebSockets
IIS-ApplicationInit
IIS-ISAPIExtensions
IIS-ISAPIFilter
IIS-HttpCompressionStatic
IIS-ASPNET45
IIS-ASP
IIS-FTPServer
IIS-FTPSvc
IIS-FTPExtensibility
LegacyComponents
DirectPlay
SimpleTCP
SNMP
WMISnmpProvider
Windows-Identity-Foundation
Microsoft-Windows-Subsystem-Linux
HypervisorPlatform
Client-ProjFS
WindowsMediaPlayer
WAS-WindowsActivationService
WAS-ProcessModel
WAS-NetFxEnvironment
WAS-ConfigurationAPI
MSMQ-Container
MSMQ-Server
MSMQ-Triggers
MSMQ-HTTP
MSMQ-Multicast
MSMQ-DCOMProxy
Printing-PrintToPDFServices-Features
RasRip
SMB1Protocol
SMB1Protocol-Client
SMB1Protocol-Server
SMB1Protocol-Deprecation
TelnetClient
TelnetServer
TFTP
Printing-Foundation-InternetPrinting-Client
Printing-Foundation-LPDPrintService
Printing-Foundation-LPRPortMonitor
TIFFIFilter
